title,company,summary,salary
Pricing Data Scientist,Tarifica,Technical expertise*– We work to apply technology throughout the research process – including using the data we gather to predict pricing trends and building…,0
Lead Data Scientist,Aetna,"Advanced in-depth specialization in mathematical analysis methods, machine learning, statistical analyses, and predictive modeling.",0
Sports Data Scientist,Awesemo.com LLC,We're looking for someone to assist in the development of new models to forecast athletic performance in a number of major sports.,"$50,000 - $100,000 a year"
Dashboard Engineer/Data Scientist,Praxis Metrics,"You will use pre-built API connections, SQL, and Domo’s other ETL tools to access various databases and prepare the data to be imported into Domo.",$50 - $150 an hour
Data Scientist,Digitalogy Consulting,"Academic or industry examples of machine learning models previously built. Hands on work with unclean, semi-structured or unstructured data sets preferred.",$50 - $80 an hour
"Data Scientist, Entry",Unisys,"Experience with artificial intelligence (AI), machine learning, deep learning, Big Data, Internet of Things (IoT), and other Data & AI related technologies.",0
MODA Data Scientist,New York City DEPT OF INFO TECH & TELECOMM,The Data Scientist will report to the City’s Deputy Chief Analytics Officer and work closely with the other members of the Analytics Team on projects.,"$52,524 - $79,000 a year"
Associate Data Scientist,Macy's,"The Associate Data Scientist will perform technical analyses to forecast demand, understand customer preferences, simulate business outcomes, and optimize…",0
Junior Data Scientist - VIE San Francisco,Ubisoft,"Proficiency in at least one programming language, preferably R or Python. In an established team based in San Francisco, you will get to influence how we work…",0
Data Scientist,Simon-Kucher & Partners,The Simon-Kucher Data Science team is a group of data scientists who develop best-in-class approaches and models to solve complex business problems using…,0
Junior Data Scientist,"Remedy BPCI Partners, LLC.","1+ year’s professional experience as a data scientist or machine learning engineer. Solid knowledge of advanced applied data science (machine learning, neural…",0
Data Scientist,"World Wide Technology, Inc.",Our Data Science team has been involved with building cutting edge solutions in various domains that employ everything from regression models to deep learning…,0
Data Scientist,ERP Consulting,Experience in statistical modeling and/or machine learning techniques. 3+ years of industry experience in a Data Science / Analytics role.,0
Data Scientist,Intercontinental Exchange,Apply statistical and machine learning models to develop practical solutions supporting the financial marketplace. A minimum of 2 years experience required.,0
Statistician / Data Scientist,"After, Inc.","A deep understanding of various statistical methods, such as linear and logistic regression, time series, design of experiments, etc. Experience with survival…",0
Data Scientist,National Security Agency,"Designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial…","$99,172 - $152,352 a year"
Data Scientist,Lafayette Hospitality Search,I am searching for a data scientist/analyst on behalf of one of my client hotels. The ideal candidate for this position will have 2-3 years work experience in…,"$65,000 - $75,000 a year"
Sports Data Scientist,Awesemo.com LLC,Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data. Knowledge of Excel and linear regressions.,"$50,000 - $100,000 a year"
Data Scientist I,AIG,"American General Life Insurance Company. Data Scientists collaborate with AIG’s Life and Retirement businesses across multiple functions, including product,…",0
Pricing Data Scientist,Tarifica,Tarifica develops and maintains software and algorithmic tools that help mobile operators track the prices and offers of their competition in real-time.,0
Data Scientist,Lafayette Hospitality Search,I am searching for a data scientist/analyst on behalf of one of my client hotels. They should have extensive knowledge of Tableau and data integration.,"$65,000 - $75,000 a year"
Data Scientist,"Blue Ridge Technologies, Inc.","Blue Ridge Technologies Inc.is seeking a Data Scientist for their direct client in Richmond, VA. Guide and inspire the organization about the business potential…",$150 an hour
Data Scientist,Physera,"Physera is looking for experienced data scientists to join our team and apply their expertise across operational, business and clinical data.",0
Data Scientist,West Virginia University Hospital,Notes to Applicant The Data Scientist will be focused on working with our new Artificial Intelligence IT team.,0
Data Scientist,TripAdvisor,"We’re seeking a proven data science leader excited about statistical modeling, forecasting, analytics, experimentation, and mining user behavior data to work on…",0
DATA SCIENTIST I,UT Southwestern Medical Center,"This position is security-sensitive and subject to Texas Education Code 51.215, which authorizes UT Southwestern to obtain criminal history record information.",0
Data Scientist - Insights,Getty Images,Getty Images is looking for individuals that enjoy leveraging new and traditional Machine Learning methods to help turn large-scale business data into…,0
Data Scientist I,Monarch NC,It's fun to work in a company where people truly BELIEVE in what they're doing! We're committed to bringing passion and customer focus to the business.,0
Data Scientist,BOS Framework,"BOS Framework is a revolutionary software development framework that drastically reduces the amount of time and money required to build and maintain complex,…",0
CIMD - Marcus by Goldman Sachs - Data Scientist,Goldman Sachs,"Consumer and Investment Management (CIMD). The Consumer and Investment Management Division includes Goldman Sachs Asset Management (GSAM), Private Wealth…",0
Data Scientist (NY),Debtsy,"Traditional debt collection is rife with harassment and fraud, producing more consumer complaints than any sector of consumer finance. You may be a fit if you:",0
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,"The Visiting Nurse Service of New York (VNSNY) is the nation’s largest not-for-profit home- and community-based health care organization, serving the five…",0
Dashboard Engineer/Data Scientist,Praxis Metrics,"You will use pre-built API connections, SQL, and Domo’s other ETL tools to access various databases and prepare the data to be imported into Domo.",$50 - $150 an hour
Lead Data Scientist,Aetna,"Looking for opportunities to use cutting edge technologies analyzing petabytes of data in a world class Hadoop cluster, generating insights to guide consumers…",0
Data Scientist - Modelling,Optimal,We are looking for a highly-motivated and highly-skilled data… (ii) identifying data sources and performing data analysis on large and multiple data sources;,0
"Data Scientist (C13/VP) New York, NY",Citi,Ability to perform data assessment and understand data imputations and impact. Be able to define features in consultation with business / data SMEs.,0
Data Scientist,"AbleTo, Inc.",Experience working with large data sets. … Familiarity with public sources of data such as American Community Survey / Census data. … AbleTo is an E-Verify company.,0
Data Scientist,Ecolab Pest France,"With annual sales of $15 billion, Ecolab (ECL) is the global leader in water, hygiene and energy technologies and services that protect people and vital…",0
Data scientist,Avila Trading,"Location – San Jose, CA. … (Ability to write functions, clean and efficient data manipulation are mandatory for this role).",0
Junior Data Scientist,Remedy Partners,"1+ year’s professional experience as a data scientist or machine learning engineer. … Strong experience with data manipulation, analysis and visualization.",0
Data Scientist- Machine Learning,Covera Health,"Healthcare provider profile data, medical images, medical reports, longitudinal claims data, and… One to three year’s work experience as a Data Scientist.",0
"Data Scientist, Customer Operations",Squarespace,"We are seeking a Data Scientist who demonstrates sharp intellectual curiosity, data fluency, and a collaborative work ethic. … Flexible vacation & paid time off.",0
Junior Data Scientist - Center for Quantitative Drug and Disease Modeling,USC,"The Junior Data Scientist will assist with the design and implementation of databases, and utilize vendor and internally-developed tools to review data quality,…","$55,000 - $65,000 a year"
Data Scientist,WW International (formerly Weight Watchers),Key to these is data science. … Focus on data science and build awesome data products. … Peer review other data scientists’ contributions.,0
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,We are looking for an ambitious data scientist to join our expanding team. … Ability to effectively communicate results of complex data analysis to non…,0
Data Scientist I,AIG,This role is a data scientist with solid advanced analytics skills and excellent ability to work with different insurance functional areas.,0
Sports Data Scientist,Awesemo.com LLC,Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data… Conduct research using historical sports data.,"$50,000 - $100,000 a year"
Data Scientist,Lafayette Hospitality Search,I am searching for a data scientist/analyst on behalf of one of my client hotels. They should have extensive knowledge of Tableau and data integration.,"$65,000 - $75,000 a year"
Dashboard Engineer/Data Scientist,Praxis Metrics,You will work closely with system administrators who use the data and understand the… Create data visualizations and data stories to inform strategic decisions.,$50 - $150 an hour
Pricing Data Scientist,Tarifica,The primary responsibilities of the Pricing Data Scientist will be to… Performing routine and ad-hoc data analyses and reconciling/correcting data issues.,0
Lead Data Scientist,Aetna,"The candidate will lead a project team responsible for extracting and manipulating data from multiple, large… Aetna takes our candidate's data privacy seriously.",0
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,"Compiles, analyzes, and interprets healthcare clinical and utilization data for the Data Science Team. Ability to apply statistical methods to data, draw…",0
"Associate, Data Scientist",JP Morgan Chase,"Thought leader in data science and analytics who can define analytical agenda for projects, demonstrates ability to frame ambiguous business questions into…",0
Data Scientist 2020,Cargill,"Experience with weather and geospatial data. Experience with consumer, marketing, or sales data. This position will be part of the Engineering and Data Sciences…",0
"Center of Excellence (COE) Data Scientist, Strategic Procurement",Macy's,"Identify opportunities through data, not limited to just spend data to bring a new thought process on how we approach strategic procurement projects with data.",0
"Data Scientist, Analytics",Venmo,"Equally capable of orchestrating data pipelines using infrastructure built by data engineers, digging through data to uncover novel insights, and convincing…",0
"Data Scientist, Zillow Offer's ML Team",Zillow Group,We're looking for a seasoned data scientist. You have extensive experience directly querying multi-terabyte-sized data sets (with Hive and Presto) including…,0
Data Scientist New Jersey,Radiant Digital,"Knowledge of data labeling, categorization, and structuring techniques. Experience in distributed data analysis and continuous learning.",0
Junior Data Scientist Internship,PETSMART,Experience the Data Scientist function of the leading pet specialty retailer firsthand while you develop the skills to become successful in the advanced…,0
Dashboard Engineer/Data Scientist,Praxis Metrics,Create data visualizations and data stories to inform strategic decisions. You will work closely with system administrators who use the data and understand the…,$50 - $150 an hour
Sports Data Scientist,Awesemo.com LLC,Conduct research using historical sports data. Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data…,"$50,000 - $100,000 a year"
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,We are looking for an ambitious data scientist to join our expanding team. Ability to effectively communicate results of complex data analysis to non…,0
Data Scientist I,AIG,This role is a data scientist with solid advanced analytics skills and excellent ability to work with different insurance functional areas.,0
Sports Data Scientist,Awesemo.com LLC,Conduct research using historical sports data. Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data…,"$50,000 - $100,000 a year"
Data Scientist,Lafayette Hospitality Search,They should have extensive knowledge of Tableau and data integration. I am searching for a data scientist/analyst on behalf of one of my client hotels.,"$65,000 - $75,000 a year"
Dashboard Engineer/Data Scientist,Praxis Metrics,Create data visualizations and data stories to inform strategic decisions. You will work closely with system administrators who use the data and understand the…,$50 - $150 an hour
Pricing Data Scientist,Tarifica,Performing routine and ad-hoc data analyses and reconciling/correcting data issues. The primary responsibilities of the Pricing Data Scientist will be to…,0
Lead Data Scientist,Aetna,"Aetna takes our candidate's data privacy seriously. The candidate will lead a project team responsible for extracting and manipulating data from multiple, large…",0
Data Scientist,BlueVine,An excellent understanding of both traditional statistical modeling and Machine Learning techniques and algorithms: Unlimited snacks in fully stocked kitchens.,0
Data Scientist,Lake Washington School District,The Data Scientist provides quantitative and qualitative analysis of student and organization data for informed continuous improvement.,"$106,585 a year"
Procurement Data Scientist,UNITED PARCEL SERVICE,He/She leverages data and Artificial Intelligence (AI) Machine Learning (ML) techniques and algorithms to predict an outcome based on a learned set of…,0
Data Scientist,RISIRISA,"Experience with a range of data science techniques including clustering, machine learning, natural language processing, and network analysis.",0
Data Scientist,Equinox Consulting Partners LLC,"The bulk of the work will be in machine learning (ML) modelling, management and problem analysis, data exploration and data correlation and clustering.",0
Data Scientist,Aspen Technology,"Build and verify mathematical models and automated machine learning tools to analyze and optimize all aspects of our system, providing actionable insights in…",0
Data Scientist,Red Alpha,"Python, R, Hadoop, Spark, Random Forests, Deterministic Forests (jk), Jupyter Notebooks, xkcd, Deep Learning, and a host of other tools and techniques:",0
Data Scientist,Attune,You will join a growing analytics team that drives Attune’s business model forward by solving some of the most complex analytical problems in the industry.,0
Data Analyst/Data Scientist,Quantilus,"On an ongoing basis, the data feeds need to be managed, and new reports generated based on business needs. Make recommendations based on your findings.",0
Machine Learning Data Scientist,UBS,"Creating predictive models using statistical machine learning like logistic regression, state space models, and Kalman filters; Do you want to be one of us?",0
Data Scientist,Central Intelligence Agency,"You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…","$67,968 - $126,062 a year"
Data Scientist,National Security Agency,"Designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial…","$99,172 - $152,352 a year"
Sports Data Scientist,Awesemo.com LLC,We're looking for someone to assist in the development of new models to forecast athletic performance in a number of major sports.,"$50,000 - $100,000 a year"
Lead Data Scientist,Clarigent Health,"Mason, Ohio based Clarigent Health is using artificial intelligence and machine learning to study a person’s language and speech patterns to detect warning…","$100,000 - $150,000 a year"
Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships…",$21.93 - $26.43 an hour
Pricing Data Scientist,Tarifica,"Creating pricing models that help clients identify opportunities to win new subscribers, retain existing customers and/or increase their average revenue per…",0
Lead Data Scientist,Aetna,"Advanced in-depth specialization in mathematical analysis methods, machine learning, statistical analyses, and predictive modeling.",0
Data Scientist,Lafayette Hospitality Search,I am searching for a data scientist/analyst on behalf of one of my client hotels. The person must be a US Citizen or has the appropriate VISA/Green Card.,"$65,000 - $75,000 a year"
Data Scientist,Rent the Runway,Mine the data ecosystem & find fruitful signals. Passion for data and its ability to drive serious business impact.,0
Data Scientist,National Security Agency,"As a Data Scientist at NSA, responsibilities may include: Data Scientists are hired into positions directly supporting a technical mission office or the Data…","$99,172 - $152,352 a year"
Data Scientist,Aramark,"The Data Scientist will work closely with the operations leadership team of our innovative, app-based on-demand food delivery service organization to optimize…",0
Data Scientist,Cadent,"Data Scientists collaborate directly with the Business Intelligence, Data Engineering and Development team members to productize research as reporting and…",0
Data Scientist,Child and Family Services Agency,"The District of Columbia Child and Family Services Agency (CFSA) is seeking an outstanding Data Scientist to analyze quantitative, qualitative, and statistical…",0
Data Scientist,Kinetix Trading Solutions Inc,"Kinetix Trading Solutions is a financial technology company with products in trade management, trade capture, for middle to back-office for fixed income, equity…",0
Media Mix Modeling - Data Scientist,Incite Informatics,"Job Description for MMM Data Scientist. Statistics, Data Mining, Operations Research, Econometrics, Finance, Engineering or similar.",0
Data Scientist,Neal Analytics,"Background and experience with statistical methods, data analysis and machine learning is a plus. Role involves working closely with data scientists and…",0
Pricing Data Scientist,Tarifica,Performing routine and ad-hoc data analyses and reconciling/correcting data issues. The primary responsibilities of the Pricing Data Scientist will be to…,0
Data Scientist,Gro Intelligence,"Passion for solving high impact problems with data driven tools. We are a fast-growing, mission-driven data and analytics company creating a more connected and…",0
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,We are looking for an ambitious data scientist to join our expanding team. Ability to effectively communicate results of complex data analysis to non…,0
Data Scientist I,AIG,This role is a data scientist with solid advanced analytics skills and excellent ability to work with different insurance functional areas.,0
Senior Data Scientist,Humana,"The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced…",0
Sports Data Scientist,Awesemo.com LLC,Conduct research using historical sports data. Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data…,"$50,000 - $100,000 a year"
Dashboard Engineer/Data Scientist,Praxis Metrics,Create data visualizations and data stories to inform strategic decisions. You will work closely with system administrators who use the data and understand the…,$50 - $150 an hour
Data Scientist,Riverside Research,"Generate reports and visualizations that summarize data sets and provide data driven insights to customers. Develop machine learning, data mining, statistical,…",0
Pricing Data Scientist,Tarifica,Performing routine and ad-hoc data analyses and reconciling/correcting data issues. The primary responsibilities of the Pricing Data Scientist will be to…,0
Lead Data Scientist,Aetna,"Aetna takes our candidate's data privacy seriously. The candidate will lead a project team responsible for extracting and manipulating data from multiple, large…",0
Data Scientist,Lafayette Hospitality Search,They should have extensive knowledge of Tableau and data integration. I am searching for a data scientist/analyst on behalf of one of my client hotels.,"$65,000 - $75,000 a year"
Data Scientist,Lafayette Hospitality Search,They should have extensive knowledge of Tableau and data integration. I am searching for a data scientist/analyst on behalf of one of my client hotels.,"$65,000 - $75,000 a year"
Data Scientist,1Thread,"Our Platform team develops all distributed and big data systems and applications to efficiently run 1Thread's data management, and analytics.",0
Junior Data Scientist,BerlandTeam,"We’re actively looking to recruit a Junior Data Scientist with 1-3 years of experience who, among other things, can support the team in developing scalable data…",0
Data Scientist,Teqqi,Performing data analysis on large data sets. We are currently seeking a Data Scientist for our New York City team. Proficiency in Python – required.,0
Data Scientist - ML/AI,Getty Images,You will join a growing team of highly-collaborative and curious Data Scientists and Data Engineers. Proven experience of having worked hands-on as a Data…,0
"Data Scientist, Home Loans",Zillow Group,"Zillow Group is currently seeking a Data Scientist to join the Zillow Group Home Loans Analytics team in our Seattle, WA office. Our team structure if flat.",0
Data Scientist,Valen Analytics,Provide practical and technical expertise in the design and execution of Data Science solutions. Valen Analytics is a rapidly expanding advanced data and…,0
Data Scientist Intern,Gerdau,Have the opportunity to apply your analytics skills and data science knowledge to create data models that will address issues impacting the business process…,0
Data Scientist,Equifax,Create business intelligence visualizations of insights for customers and of data asset summaries for data quality assessments.,0
Data Scientist,Smart Apartment Data,"We're a growing software company looking for an experienced Data Scientist to optimize, plan and execute our business operations. Fun and dynamic work culture.",0
Data Scientist,GLOBAL VISSE Inc,"3+ years of experience as a Data Scientist, preferably in Big Data Environment. AZURE stack (ADLS, Data Factory, Databricks).",0
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,We are looking for an ambitious data scientist to join our expanding team. Ability to effectively communicate results of complex data analysis to non…,0
Data Scientist I,AIG,This role is a data scientist with solid advanced analytics skills and excellent ability to work with different insurance functional areas.,0
Pricing Data Scientist,Tarifica,Performing routine and ad-hoc data analyses and reconciling/correcting data issues. The primary responsibilities of the Pricing Data Scientist will be to…,0
Dashboard Engineer/Data Scientist,Praxis Metrics,Create data visualizations and data stories to inform strategic decisions. You will work closely with system administrators who use the data and understand the…,$50 - $150 an hour
Lead Data Scientist,Aetna,"Aetna takes our candidate's data privacy seriously. The candidate will lead a project team responsible for extracting and manipulating data from multiple, large…",0
Sports Data Scientist,Awesemo.com LLC,Conduct research using historical sports data. Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data…,"$50,000 - $100,000 a year"
Data Scientist (NLP),Prognos,Strong statistical analysis background with a deep understanding of a variety of ML algorithms and statistical modeling techniques. Act with a sense of urgency.,0
Distinguished Data Scientist,Verizon,"Accomplished researcher and expert in machine learning, neural networks, reinforcement learning, chatbot technology, and NLP. Even better if you have:",0
Senior Data Scientist,Hopper,Use machine learning and big data tools on tremendously large and complex data to deepen our data-driven advice and personalized modeling.,0
Data Scientist,IFG Companies,"Build predictive and/or Machine Learning models in SAS. Advanced experience in analytics, data cleaning, and predictive modeling.",0
Data Scientist,Slice,3+ years of specialized experience in Data Science or Advanced Analytics solving complex analytical problems in a technology environment.,0
Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Microsoft,"Do you want to work on a meaningful and impactful project and make a difference? Passion to learn from your peers, manager, and other stakeholders in the Data…",0
Data Scientist - DSS Training Specialist - New York,Dataiku,"Has core technical knowledge in key data analysis areas (machine learning algorithms, statistical analysis, relational database modeling, advanced SQL, data…",0
Data Scientist,Imagining Human,"Advanced training and experience in machine learning, data science,. Ability to independently clean data, run exploratory analyses, fit models,.","$85,000 - $150,000 a year"
2020 Co-Op - CIO Data Scientist,IBM,"Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.",0
Data Scientist,Lown Institute,"Use advanced data analysis methods (from machine learning, artificial intelligence, statistics, epidemiology, etc) to assist in building predictive models of…",0
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,Uses techniques including time series forecasting and geospatial analysis to address business problems such as staffing and scheduling;,0
Data Scientist I,AIG,The position will employ both traditional statistical methods and machine learning techniques to answer business questions. What we are looking for.,0
Senior Data Scientist,Humana,"Experience in using mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic…",0
Sports Data Scientist,Awesemo.com LLC,We're looking for someone to assist in the development of new models to forecast athletic performance in a number of major sports.,"$50,000 - $100,000 a year"
Dashboard Engineer/Data Scientist,Praxis Metrics,"You will work closely with system administrators who use the data and understand the data structures. You will use pre-built API connections, SQL, and Domo’s…",$50 - $150 an hour
Pricing Data Scientist,Tarifica,"Creating pricing models that help clients identify opportunities to win new subscribers, retain existing customers and/or increase their average revenue per…",0
Lead Data Scientist,Aetna,"Advanced in-depth specialization in mathematical analysis methods, machine learning, statistical analyses, and predictive modeling.",0
Data Scientist,Lafayette Hospitality Search,I am searching for a data scientist/analyst on behalf of one of my client hotels. The person must be a US Citizen or has the appropriate VISA/Green Card.,"$65,000 - $75,000 a year"
Data Scientist,Clarify Health Solutions.,"Experience in data mapping, data cleaning, ETL or SQL a major plus. The Data Scientist will be responsible for a range of roles, including (but not limited to):",0
Data Scientist,RepairSmith,"The data acquisition, data analysis, data modeling and recommendations for all data driven features on the product – including diagnosis, pricing,…",0
Data Scientist - New College Grad,Proofpoint,Proficiency in data exploration techniques and tools. Would you like to apply cutting edge data science techniques to help protect the world against cyber…,0
2020 Intern - Data Scientist,IBM,"Armed with data, modeling expertise, and analytic results, the data scientist communicates conclusions and recommendations to stakeholders in an organization's…",0
Data Scientist,Walmart eCommerce,A Data Scientist is responsible for analyzing large data sets to develop custom models and algorithms to drive business solutions.,0
Data Scientist,"OneSource IT, Inc.","3+ years’ experience in specialized data mining, predictive modeling, or other data intensive analytical role in a telecommunications environment.",0
Data Scientist,Disney Streaming Services,3+ years of experience as a Data Scientist in technology sector. The Data Scientist is a critical position within DSS and in the Data organization who…,0
Data Scientist,Fraank Systems,Convert the data models into data products and services. Integrate collected data sources into existing and new data models. Email id and address to contact:,0
Data Scientist,American Express,"The Data Scientist must demonstrate outstanding thought leadership, collaboration and partnership with multiple functional teams including;",0
Data Scientist,Microsoft,AI Builder team in the Business Applications Group (within Cloud + AI division) is looking for a passionate data scientist to help build AI platform.,0
Data Scientist,VISITING NURSE SERVICE OF NEW YORK,We are looking for an ambitious data scientist to join our expanding team. Ability to effectively communicate results of complex data analysis to non…,0
Data Scientist I,AIG,This role is a data scientist with solid advanced analytics skills and excellent ability to work with different insurance functional areas.,0
Senior Data Scientist,Humana,"The Senior Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced…",0
Sports Data Scientist,Awesemo.com LLC,Conduct research using historical sports data. Awesemo.com is a fantasy sports website dedicated to accurately predicting athlete performance based on past data…,0
Dashboard Engineer/Data Scientist,Praxis Metrics,Create data visualizations and data stories to inform strategic decisions. You will work closely with system administrators who use the data and understand the…,0
Pricing Data Scientist,Tarifica,Performing routine and ad-hoc data analyses and reconciling/correcting data issues. The primary responsibilities of the Pricing Data Scientist will be to…,0
Lead Data Scientist,Aetna,"Aetna takes our candidate's data privacy seriously. The candidate will lead a project team responsible for extracting and manipulating data from multiple, large…",0
Data Scientist,Lafayette Hospitality Search,They should have extensive knowledge of Tableau and data integration. I am searching for a data scientist/analyst on behalf of one of my client hotels.,0
Data Scientist,University of Pennsylvania Health System,"Fluency with statistical and machine learning techniques such as decision trees, feed-forward and recurrent neural networks, graphical models, clustering, and…",0
Data scientist- Analytics,Devoted Health,"The analytics created and maintained by the data science team inform and guide decision-making in all areas of the company, from our own team of healthcare…",0
Data Scientist,Hinge,"Solid understanding of machine learning principles and models. As the newest member of the data science team and reporting into our Director of Data Science,…",0
Data Scientist,Abercrombie and Fitch Co.,"Build innovative machine learning models and segmentations for personalization initiatives to drive margin, revenue and conversion. What will you be doing?",0
